drug_name,num_prescriber,total_cost
CINRYZE,61,5.548098655999997E7
SANTYL,6192,5.5267439229999766E7
NIFEDIPINE ER,42418,5.523698648999996E7
DIGOXIN,38754,5.517383119000017E7
ADVAIR HFA,5934,5.515066893999992E7
LIDOCAINE-PRILOCAINE,8532,5.514365888999981E7
PREDNISONE,137585,5.469132572000004E7
RANITIDINE HCL,86301,5.450054213999968E7
DOXAZOSIN MESYLATE,46417,5.4298644249999985E7
URSODIOL,6528,5.405051340999977E7
HUMULIN N,9460,5.403386637999987E7
CIMZIA,774,5.396258355999997E7
PIOGLITAZONE HCL,36820,5.374831213999992E7
TRAZODONE HCL,108719,5.329101644999949E7
CARBIDOPA-LEVODOPA,29938,5.327575711999996E7
DIOVAN,11236,5.306581165000016E7
COLCRYS,10500,5.302659828999979E7
BACLOFEN,51610,5.287302617000032E7
BRILINTA,5949,5.197162347000004E7
AMLODIPINE BESYLATE-BENAZEPRIL,37330,5.094974298000039E7
LOSARTAN-HYDROCHLOROTHIAZIDE,72696,4.873704451999992E7
LANSOPRAZOLE,34847,4.855527019999985E7
BRIMONIDINE TARTRATE,14532,4.85422874799999E7
VIEKIRA PAK,86,4.791730242E7
COLCHICINE,11850,4.771185066000008E7
DALIRESP,6676,4.758573557999986E7
LORAZEPAM,101309,4.7516832150000215E7
AMITRIPTYLINE HCL,66531,4.681813316000019E7
PAROXETINE HCL,74165,4.679656856999983E7
SAPHRIS,2911,4.6520192160000145E7
OXYBUTYNIN CHLORIDE,45612,4.5993537820000075E7
JANUMET XR,5171,4.5883323490000136E7
MEMANTINE HCL,18414,4.586797287000007E7
MODAFINIL,4990,4.578160462000015E7
GLIMEPIRIDE,61953,4.543170302000019E7
SEROSTIM,123,4.534027407000002E7
EXEMESTANE,3576,4.488758797000021E7
POLYETHYLENE GLYCOL 3350,49699,4.4735439789999604E7
CITALOPRAM HBR,103952,4.465583972000101E7
HYDRALAZINE HCL,57737,4.45787483600004E7
HUMALOG MIX 75-25,3944,4.4521908880000055E7
VIGAMOX,3850,4.398641849999998E7
RISPERIDONE,45505,4.3460735180000305E7
DILTIAZEM 24HR ER,28838,4.286129198999996E7
REBIF REBIDOSE,416,4.261158244000004E7
CALCIUM ACETATE,7849,4.219419276000015E7
TUDORZA PRESSAIR,5285,4.207635357999998E7
TARGRETIN,52,4.192962757E7
CARBAMAZEPINE,21344,4.188952044999987E7
SIMPONI,554,4.148648373000001E7
CLONAZEPAM,94022,4.1383465819999725E7
TIMOLOL MALEATE,19428,4.123934948000011E7
SPIRIVA RESPIMAT,4206,4.110822576000009E7
ALENDRONATE SODIUM,86413,4.025730844000033E7
ASACOL HD,2882,4.011554258999991E7
KEPPRA,1644,3.98145297299999E7
AZOR,5982,3.9106516849999875E7
LAMICTAL,1597,3.90419727499999E7
LOTEMAX,4531,3.840344292E7
PATANOL,5717,3.835085562000007E7
LOVASTATIN,69257,3.801984634000008E7
VOTRIENT,292,3.746986420000002E7
ZEMAIRA,213,3.714491128000001E7
TRIAMCINOLONE ACETONIDE,57680,3.710801439000057E7
SUSTIVA,1686,3.7005166359999925E7
AZITHROMYCIN,109534,3.6791167669999875E7
SUTENT,256,3.664220377E7
KALETRA,1485,3.631919842999999E7
FOSRENOL,1338,3.6306977520000026E7
FLUOCINONIDE,10971,3.627900947999996E7
LIDODERM,3498,3.615406196000006E7
GLUMETZA,650,3.609089633999999E7
STELARA,162,3.5975035540000014E7
LISINOPRIL-HYDROCHLOROTHIAZIDE,85009,3.592147985E7
BYDUREON PEN,2555,3.530135604000007E7
METRONIDAZOLE,27899,3.526232348000021E7
FIRAZYR,32,3.518305148000001E7
DIGOX,29030,3.4807941639999956E7
PROPRANOLOL HCL ER,18778,3.462124690000002E7
CYCLOBENZAPRINE HCL,63364,3.427837487000008E7
BYETTA,3177,3.370792257000002E7
MELOXICAM,90834,3.3487647340000045E7
ESTRACE,5827,3.333725083000007E7
BUTRANS,3620,3.320134508999998E7
EXJADE,272,3.3191008639999997E7
VAGIFEM,5767,3.2974059209999986E7
METHYLPREDNISOLONE,48492,3.2712837220000036E7
CLONIDINE,10436,3.2578256170000087E7
PROLENSA,2303,3.2413384809999984E7
JUXTAPID,61,3.2234492809999995E7
TRIAMTERENE-HYDROCHLOROTHIAZID,64683,3.2020144580000095E7
RIVASTIGMINE,7881,3.1719472420000136E7
NEUPRO,1958,3.1505696810000055E7
SPIRONOLACTONE,74974,3.140746899000011E7
ELMIRON,1872,3.127028338999996E7
FANAPT,1326,3.1081060890000008E7
CLOMIPRAMINE HCL,2873,3.0967098340000056E7
ORENITRAM ER,146,3.091401861000003E7
KLOR-CON M20,40108,3.0779325320000008E7
RAMIPRIL,42248,3.0772994720000044E7
ROPINIROLE HCL,46798,3.0658811209999852E7
DEXTROAMPHETAMINE-AMPHETAMINE,16011,3.062401195999999E7
AZELASTINE HCL,15414,3.057579006000002E7
FENOFIBRIC ACID,10854,3.054511946000006E7
DILTIAZEM 24HR CD,33336,3.0513984590000164E7
ATROVENT HFA,5596,3.047946268000005E7
BUSPIRONE HCL,46115,3.0390643470000096E7
CUBICIN,638,3.0338464870000016E7
FLUOROURACIL,4900,3.016617199999993E7
PENTASA,2022,3.010803527999998E7
KETOCONAZOLE,24820,3.0056929220000118E7
CARBAMAZEPINE ER,8793,2.9643007280000117E7
BYDUREON,2523,2.943708834999996E7
APRISO,2948,2.938158439000004E7
THALOMID,224,2.938019042999997E7
CARTIA XT,31594,2.9287436600000136E7
ANORO ELLIPTA,3221,2.8956973899999976E7
ONFI,994,2.8937956460000027E7
INSULIN SYRINGE,31050,2.8789155340000037E7
SUMATRIPTAN SUCCINATE,24286,2.8642294950000063E7
BUPROPION HCL SR,40025,2.853453488999992E7
AMIODARONE HCL,34688,2.8471141080000024E7
IBANDRONATE SODIUM,14913,2.8298733409999877E7
PHENYTOIN SODIUM EXTENDED,26879,2.826022169999994E7
NOVOLIN N,7093,2.8231950549999963E7
CHLORTHALIDONE,24760,2.803090197999983E7
TEMAZEPAM,46274,2.7999208180000015E7
CARAFATE,5750,2.7856224730000045E7
BUMETANIDE,21942,2.7847884899999924E7
BUDESONIDE,3792,2.759240095000003E7
CIPROFLOXACIN HCL,105748,2.738367147999988E7
DORZOLAMIDE-TIMOLOL,14292,2.735280018999998E7
VIIBRYD,5705,2.7271808500000004E7
LEVOFLOXACIN,71857,2.7238342099999852E7
NUVIGIL,2318,2.713963162999991E7
OTEZLA,627,2.7058645560000006E7
CLOTRIMAZOLE-BETAMETHASONE,22730,2.6995640249999788E7
PROMACTA,293,2.692378722999999E7
LABETALOL HCL,23535,2.684058413000028E7
ENTACAPONE,3515,2.6406711370000016E7
KOMBIGLYZE XR,3305,2.621697065E7
CIALIS,4434,2.6151719750000086E7
BANZEL,570,2.5723395060000025E7
NEULASTA,174,2.5531438549999997E7
SELZENTRY,726,2.5518753779999986E7
DEXTROAMPHETAMINE-AMPHET ER,7225,2.5438313039999977E7
ESTRADIOL,33312,2.5429054460000165E7
LEFLUNOMIDE,3761,2.537905341999997E7
GATTEX,45,2.5362489910000004E7
GLIPIZIDE,70796,2.536225945999964E7
FAMOTIDINE,56700,2.5357934570000064E7
IBUPROFEN,84125,2.5126768769999847E7
VANCOMYCIN HCL,4894,2.5102158520000003E7
TAMIFLU,6229,2.507686760999999E7
AMOXICILLIN-CLAVULANATE POTASS,64138,2.4941382350000173E7
OLYSIO,55,2.4865092340000004E7
POTASSIUM CITRATE ER,5582,2.4839901510000058E7
TRIBENZOR,3721,2.4836420329999972E7
NITROFURANTOIN MONO-MACRO,29269,2.482349010000014E7
ENTECAVIR,1119,2.475768118000001E7
NOVOLIN R,6717,2.4732845680000003E7
LAMOTRIGINE,38311,2.4721254579999793E7
BRINTELLIX,3280,2.4696424709999952E7
OXYMORPHONE HCL ER,2319,2.453304923999999E7
NYSTATIN,33223,2.441419081000012E7
VERAPAMIL ER,40106,2.4392762420000218E7
PRAMIPEXOLE DIHYDROCHLORIDE,30509,2.436256548999993E7
VALACYCLOVIR,27528,2.4350662729999926E7
AMANTADINE,8221,2.3992419960000027E7
HALOPERIDOL,16713,2.3743747179999962E7
XOLAIR,422,2.3737107130000003E7
DESONIDE,5142,2.3662884989999972E7
SUPREP,4151,2.3627120560000006E7
LIVALO,4930,2.3443797399999935E7
NEUPOGEN,404,2.3251492219999988E7
BESIVANCE,1616,2.3242734789999943E7
ACETAMINOPHEN-CODEINE,53088,2.303244641999991E7
TOPIRAMATE,41213,2.3022681000000007E7
ASMANEX,4610,2.291000863000005E7
XALKORI,130,2.283426464E7
HUMULIN R,6900,2.2772886340000056E7
PLEGRIDY PEN,198,2.2324237000000015E7
PROPRANOLOL HCL,40955,2.2312951369999826E7
TACROLIMUS,2686,2.2045397829999927E7
CARBIDOPA-LEVODOPA-ENTACAPONE,2434,2.1956830369999953E7
PRIVIGEN,126,2.190333782E7
OXCARBAZEPINE,16751,2.1856345629999977E7
ACYCLOVIR,26671,2.180964776999986E7
ZENPEP,1587,2.1699468229999978E7
PROSOL,1361,2.158267170000002E7
COREG CR,4028,2.1538815870000023E7
ONDANSETRON HCL,33205,2.1300802149999965E7
CLONIDINE HCL,67380,2.128748772999992E7
METHADONE HCL,17811,2.104751311999999E7
NITROSTAT,32598,2.104235608999998E7
TOPAMAX,1149,2.0992551510000005E7
INLYTA,108,2.0972265129999995E7
GLIPIZIDE ER,36038,2.095233905999993E7
REMICADE,143,2.0792235780000005E7
VASCEPA,2182,2.068689287E7
CEFUROXIME,16074,2.061756853000006E7
BUPRENORPHINE-NALOXONE,2018,2.0301592030000012E7
NADOLOL,9866,2.016749122E7
TOPROL XL,15487,2.013223915999999E7
NYSTATIN-TRIAMCINOLONE,6651,2.0043395640000004E7
SUCRALFATE,21995,1.9919772069999933E7
JALYN,3686,1.990373226000003E7
IRBESARTAN,25100,1.9828700880000003E7
STRATTERA,2722,1.911852535999999E7
AMLODIPINE-VALSARTAN,6791,1.8957778260000005E7
MECLIZINE HCL,40777,1.8927487719999958E7
PREZCOBIX,444,1.8877044369999982E7
ARANESP,748,1.877757330999997E7
ISOSORBIDE DINITRATE,12744,1.872650104000007E7
ACTEMRA,346,1.8452604339999985E7
GILOTRIF,177,1.8243230619999994E7
FAZACLO,612,1.804230887999998E7
FLUCONAZOLE,44267,1.7864959460000154E7
TOBRAMYCIN-DEXAMETHASONE,6057,1.7825839830000006E7
CELEBREX,2975,1.7782470640000027E7
FLECAINIDE ACETATE,9836,1.768387257999995E7
RENAGEL,801,1.7591386439999994E7
JENTADUETO,1767,1.7546896289999966E7
CARBIDOPA-LEVODOPA ER,8519,1.753681024999997E7
MIDODRINE HCL,10029,1.752485485999996E7
METOLAZONE,17839,1.7398543810000032E7
NORTHERA,119,1.736751773E7
METHYLPHENIDATE HCL,11842,1.7355872829999994E7
LEXIVA,625,1.714474588999999E7
PROPAFENONE HCL ER,1611,1.7109677470000017E7
HUMULIN 70/30 KWIKPEN,1800,1.6915713239999995E7
CEPHALEXIN,81826,1.6823440859999936E7
ARALAST NP,121,1.6736499880000003E7
COUMADIN,7867,1.6647827150000043E7
NUCYNTA ER,1338,1.6561371200000009E7
OLANZAPINE ODT,3426,1.6557839690000022E7
BENAZEPRIL HCL,50527,1.6528740090000086E7
CALCIPOTRIENE,1786,1.6475683160000002E7
SAVELLA,3566,1.6391256959999992E7
CALCITRIOL,14059,1.617484499999996E7
TOUJEO SOLOSTAR,1339,1.6056131639999995E7
VELPHORO,555,1.6016053580000002E7
BERINERT,12,1.594025696E7
NEVANAC,1379,1.5922528709999982E7
DRONABINOL,2016,1.5803582600000003E7
DELZICOL,1879,1.5782250929999996E7
ERIVEDGE,94,1.5759745200000003E7
DILTIAZEM ER,19266,1.575775822000009E7
SILDENAFIL,1986,1.5580512220000012E7
BUTALBITAL-ACETAMINOPHEN-CAFFE,13004,1.543489082999993E7
DIAZEPAM,60838,1.5387857800000064E7
LAMICTAL XR,513,1.535898708E7
HIZENTRA,149,1.5356506099999996E7
BENZTROPINE MESYLATE,22131,1.530697265E7
LAMOTRIGINE ER,1326,1.5268841890000023E7
VIAGRA,1426,1.5261584360000031E7
HYDROMORPHONE HCL,16742,1.5234265190000031E7
BETAMETHASONE DIPROPIONATE,7536,1.5209585369999986E7
FARXIGA,2003,1.5185355390000027E7
NAPROXEN,59378,1.5168202990000084E7
AMOXICILLIN,103447,1.5131760129999792E7
SIMBRINZA,3478,1.4892191040000005E7
GEMFIBROZIL,33669,1.4847655500000045E7
GALANTAMINE HBR,5798,1.4822565319999967E7
REPAGLINIDE,5704,1.4805749130000047E7
KETOROLAC TROMETHAMINE,6637,1.480553527999996E7
RISEDRONATE SODIUM,3422,1.440639192999999E7
CICLOPIROX,6925,1.4363253070000036E7
FONDAPARINUX SODIUM,468,1.4276973009999998E7
VYVANSE,2808,1.4163819719999999E7
GAMMAKED,70,1.4157585909999996E7
CHANTIX,3405,1.4152336110000007E7
VENLAFAXINE HCL,18872,1.400237437999991E7
MYCOPHENOLATE MOFETIL,5025,1.3964054980000017E7
TYSABRI,108,1.395635637E7
NUCYNTA,1445,1.3903230619999997E7
METHYLPHENIDATE ER,3515,1.3870490690000024E7
SULFAMETHOXAZOLE-TRIMETHOPRIM,77522,1.3844864890000148E7
ALBUTEROL SULFATE,10130,1.3785114519999951E7
PERPHENAZINE,5468,1.3775431909999998E7
MUPIROCIN,30218,1.3772292910000091E7
PREVACID,2129,1.3739287420000015E7
APOKYN,41,1.37151974E7
DAKLINZA,35,1.364940168E7
CHOLESTYRAMINE,6950,1.363559681000001E7
PERCOCET,605,1.361933270000001E7
VALCYTE,220,1.3534003859999996E7
ROZEREM,2676,1.3485685590000022E7
HYDROMORPHONE ER,777,1.3465080309999997E7
BENAZEPRIL-HYDROCHLOROTHIAZIDE,9280,1.344219816000003E7
LACTULOSE,22998,1.3409281700000064E7
ANASTROZOLE,11742,1.339858613E7
LAMIVUDINE-ZIDOVUDINE,1130,1.3225705190000001E7
ACETAZOLAMIDE,4581,1.3201367710000027E7
INVANZ,1288,1.3201201449999994E7
QUINAPRIL HCL,25304,1.3082784340000004E7
CAPTOPRIL,6680,1.3072353409999995E7
CEFDINIR,13432,1.3023508799999999E7
ABACAVIR,1317,1.2891110279999988E7
FELODIPINE ER,12684,1.2849927089999996E7
GLIPIZIDE-METFORMIN,6013,1.2772165820000026E7
DOXEPIN HCL,17074,1.2609820389999984E7
METHENAMINE HIPPURATE,4422,1.2543480929999977E7
TERAZOSIN HCL,38786,1.2428450240000017E7
GLIPIZIDE XL,23140,1.2382334539999947E7
AVONEX ADMINISTRATION PACK,163,1.2339436810000002E7
TORSEMIDE,20791,1.2323001099999955E7
ETODOLAC,7582,1.2260318409999993E7
PARICALCITOL,1805,1.2219453490000013E7
ZYDELIG,105,1.2213227050000006E7
BOSULIF,92,1.2212219780000001E7
OXYCODONE HCL ER,1072,1.2202769549999984E7
EPIPEN 2-PAK,1295,1.2121406579999996E7
MEKINIST,64,1.2075520179999998E7
ENABLEX,2443,1.2066461040000018E7
HUMULIN N KWIKPEN,1173,1.2004578529999984E7
TAFINLAR,73,1.1862763909999996E7
ENDOCET,5087,1.1834077400000019E7
STIVARGA,82,1.1774447920000004E7
IPRATROPIUM BROMIDE,15119,1.1680725310000038E7
PILOCARPINE HCL,4585,1.1655019770000005E7
RITUXAN,70,1.1639608270000005E7
FENTORA,52,1.161733788E7
WELLBUTRIN XL,543,1.1597703050000008E7
SABRIL,42,1.1590230730000002E7
DURAGESIC,559,1.1537099830000006E7
AVASTIN,74,1.143494428E7
NATEGLINIDE,4744,1.1402236339999996E7
FLUOROMETHOLONE,3411,1.1337972250000004E7
KUVAN,41,1.1286448169999998E7
PREMPRO,4222,1.125394309000004E7
OFLOXACIN,7100,1.1251325070000026E7
PIOGLITAZONE-METFORMIN,2991,1.1201545909999995E7
KALYDECO,28,1.1172161479999997E7
JADENU,68,1.1110148259999998E7
LEVOCETIRIZINE DIHYDROCHLORIDE,14422,1.1109325580000019E7
NIFEDICAL XL,16469,1.1101371870000036E7
NITROFURANTOIN,11263,1.1080989399999991E7
SOTALOL,17688,1.1056851160000047E7
CIPRODEX,2550,1.104616844000002E7
NOXAFIL,113,1.1026851480000002E7
ESZOPICLONE,10023,1.1021451929999977E7
TELMISARTAN,7366,1.0989540649999991E7
LUPRON DEPOT,244,1.0941552200000001E7
HUMALOG MIX 50-50 KWIKPEN,546,1.0903585790000012E7
KEPPRA XR,562,1.0885143549999999E7
SEREVENT DISKUS,2194,1.0880340889999978E7
TOLTERODINE TARTRATE,5298,1.0846654680000028E7
IPRATROPIUM-ALBUTEROL,10490,1.079921063999997E7
PRIMIDONE,18351,1.064073074999998E7
ACTIMMUNE,17,1.06379375E7
TEKTURNA,3204,1.0579907990000006E7
HYDROXYZINE HCL,22530,1.0576334760000004E7
LYNPARZA,117,1.057156276E7
MOVIPREP,2432,1.0488729379999984E7
ZOLPIDEM TARTRATE ER,7456,1.0407867189999992E7
ORKAMBI,31,1.0301138249999996E7
NABUMETONE,14285,1.0245298799999991E7
ATOVAQUONE,443,1.0241221190000001E7
